date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:45:49	137137/137137	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Jan%202025%2009:45:50%20GMT	https://www.fitfount.hu/	C:/My%20Web%20Sites/gyakorlat2/www.fitfount.hu/index.html	(from )
10:45:49	136/136	---M--	200	added ('OK')	text/plain	date:Sun,%2005%20Jan%202025%2009:45:49%20GMT	https://www.fitfount.hu/robots.txt		(from )
10:45:50	8520/8520	---MCZ	200	added ('OK')	text/css	etag:W/%222c2a57ed786e49026f7f72229c6b721f%22	https://duyn491kcolsw.cloudfront.net/files/0r/0rk/0rklmm.css?ph=4255f134c4	C:/My%20Web%20Sites/gyakorlat2/duyn491kcolsw.cloudfront.net/files/0r/0rk/0rklmm2e80.css	(from https://www.fitfount.hu/)
10:45:50	453117/453117	---MCZ	200	added ('OK')	text/css	etag:W/%225200f60a287e89fc83fc99f71b74243f%22	https://duyn491kcolsw.cloudfront.net/files/1f/1f7/1f704g.css?ph=4255f134c4	C:/My%20Web%20Sites/gyakorlat2/duyn491kcolsw.cloudfront.net/files/1f/1f7/1f704g2e80.css	(from https://www.fitfount.hu/)
10:45:50	353841/353841	---MCZ	200	added ('OK')	text/css	etag:W/%225d5e193c967865993257a89c7727e705%22	https://duyn491kcolsw.cloudfront.net/files/1m/1ma/1maefn.css?ph=4255f134c4	C:/My%20Web%20Sites/gyakorlat2/duyn491kcolsw.cloudfront.net/files/1m/1ma/1maefn2e80.css	(from https://www.fitfount.hu/)
10:45:50	264158/264158	---MCZ	200	added ('OK')	text/css	etag:W/%227f94dc51e8b4ff8e090e232e87c77223%22	https://duyn491kcolsw.cloudfront.net/files/27/27n/27ncg5.css?ph=4255f134c4	C:/My%20Web%20Sites/gyakorlat2/duyn491kcolsw.cloudfront.net/files/27/27n/27ncg52e80.css	(from https://www.fitfount.hu/)
10:45:51	336018/336018	---MCZ	200	added ('OK')	text/css	etag:W/%22033b70ce8ac6f86d70072d71385fd3f8%22	https://duyn491kcolsw.cloudfront.net/files/02/020/020n4c.css?ph=4255f134c4	C:/My%20Web%20Sites/gyakorlat2/duyn491kcolsw.cloudfront.net/files/02/020/020n4c2e80.css	(from https://www.fitfount.hu/)
10:45:51	241917/241917	---MCZ	200	added ('OK')	text/css	etag:W/%224389fd3dfdbf798184e58d8fa61fa9b9%22	https://duyn491kcolsw.cloudfront.net/files/16/165/165wwj.css?ph=4255f134c4	C:/My%20Web%20Sites/gyakorlat2/duyn491kcolsw.cloudfront.net/files/16/165/165wwj2e80.css	(from https://www.fitfount.hu/)
10:45:51	277/277	---M--	200	added ('OK')	text/css	etag:%22c3b1837ba7948b43c469eb1cdcd11482%22	https://duyn491kcolsw.cloudfront.net/files/3e/3e6/3e64vr.css?ph=4255f134c4	C:/My%20Web%20Sites/gyakorlat2/duyn491kcolsw.cloudfront.net/files/3e/3e6/3e64vr2e80.css	(from https://www.fitfount.hu/)
10:45:51	71845/71845	---MCZ	200	added ('OK')	text/css	etag:W/%22a84f203568804b83ad6a740238be44cc%22	https://duyn491kcolsw.cloudfront.net/files/2x/2x2/2x2olf.css?ph=4255f134c4	C:/My%20Web%20Sites/gyakorlat2/duyn491kcolsw.cloudfront.net/files/2x/2x2/2x2olf2e80.css	(from https://www.fitfount.hu/)
