date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:18	187/187	---M-Z	200	added ('OK')	text/plain	date:Sat,%2025%20Sep%202021%2018:55:42%20GMT	https://www.alsacreations.com/robots.txt		(from )
17:34:19	38608/38608	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2016:34:19%20GMT	https://www.alsacreations.com/	C:/My%20Web%20Sites/gyakorlat5/www.alsacreations.com/index.html	(from )
17:34:19	1813/1813	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202017%2021:05:50%20GMT	https://cdn.alsacreations.net/apple-touch-icon.png	C:/My%20Web%20Sites/gyakorlat5/cdn.alsacreations.net/apple-touch-icon.png	(from https://www.alsacreations.com/)
17:34:19	706/706	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202017%2021:05:50%20GMT	https://cdn.alsacreations.net/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/gyakorlat5/cdn.alsacreations.net/apple-touch-icon-57x57.png	(from https://www.alsacreations.com/)
17:34:20	713/713	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202017%2021:05:50%20GMT	https://cdn.alsacreations.net/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/gyakorlat5/cdn.alsacreations.net/apple-touch-icon-60x60.png	(from https://www.alsacreations.com/)
17:34:20	785/785	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202017%2021:05:50%20GMT	https://cdn.alsacreations.net/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/gyakorlat5/cdn.alsacreations.net/apple-touch-icon-72x72.png	(from https://www.alsacreations.com/)
17:34:20	889/889	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202017%2021:05:50%20GMT	https://cdn.alsacreations.net/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/gyakorlat5/cdn.alsacreations.net/apple-touch-icon-76x76.png	(from https://www.alsacreations.com/)
17:34:21	1190/1190	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202017%2021:05:50%20GMT	https://cdn.alsacreations.net/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/gyakorlat5/cdn.alsacreations.net/apple-touch-icon-114x114.png	(from https://www.alsacreations.com/)
17:34:21	1218/1218	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202017%2021:05:50%20GMT	https://cdn.alsacreations.net/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/gyakorlat5/cdn.alsacreations.net/apple-touch-icon-120x120.png	(from https://www.alsacreations.com/)
17:34:22	1487/1487	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202017%2021:05:50%20GMT	https://cdn.alsacreations.net/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/gyakorlat5/cdn.alsacreations.net/apple-touch-icon-144x144.png	(from https://www.alsacreations.com/)
